pokedex_number,name,type_1,type_2,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,height_m,weight_kg,base_experience,abilities,hidden_ability,generation,is_legendary,is_mythical,is_baby,color,shape,egg_groups,habitat,growth_rate,capture_rate,base_happiness,genus,evolution_chain_id,flavor_text,sprite_url
12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,1.1,32.0,178,compound-eyes|tinted-lens,tinted-lens,gen-i,False,False,False,white,bug-wings,bug,forest,medium,45,70,Butterfly Pokémon,4,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
13,Weedle,Bug,Poison,40,35,30,20,20,50,195,0.3,3.2,39,shield-dust|run-away,run-away,gen-i,False,False,False,brown,armor,bug,forest,medium,255,70,Hairy Bug Pokémon,5,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
14,Kakuna,Bug,Poison,45,25,50,25,25,35,205,0.6,10.0,72,shed-skin,,gen-i,False,False,False,yellow,squiggle,bug,forest,medium,120,70,Cocoon Pokémon,5,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
15,Beedrill,Bug,Poison,65,90,40,45,80,75,395,1.0,29.5,178,swarm|sniper,sniper,gen-i,False,False,False,yellow,bug-wings,bug,forest,medium,45,70,Poison Bee Pokémon,5,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
16,Pidgey,Normal,Flying,40,45,40,35,35,56,251,0.3,1.8,50,keen-eye|tangled-feet|big-pecks,big-pecks,gen-i,False,False,False,brown,wings,flying,forest,medium-slow,255,70,Tiny Bird Pokémon,6,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349,1.1,30.0,122,keen-eye|tangled-feet|big-pecks,big-pecks,gen-i,False,False,False,brown,wings,flying,forest,medium-slow,120,70,Bird Pokémon,6,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479,1.5,39.5,216,keen-eye|tangled-feet|big-pecks,big-pecks,gen-i,False,False,False,brown,wings,flying,forest,medium-slow,45,70,Bird Pokémon,6,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
19,Rattata,Normal,,30,56,35,25,35,72,253,0.3,3.5,51,run-away|guts|hustle,hustle,gen-i,False,False,False,purple,quadruped,ground,grassland,medium,255,70,Mouse Pokémon,7,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
20,Raticate,Normal,,55,81,60,50,70,97,413,0.7,18.5,145,run-away|guts|hustle,hustle,gen-i,False,False,False,brown,quadruped,ground,grassland,medium,127,70,Mouse Pokémon,7,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
21,Spearow,Normal,Flying,40,60,30,31,31,70,262,0.3,2.0,52,keen-eye|sniper,sniper,gen-i,False,False,False,brown,wings,flying,rough-terrain,medium,255,70,Tiny Bird Pokémon,8,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
22,Fearow,Normal,Flying,65,90,65,61,61,100,442,1.2,38.0,155,keen-eye|sniper,sniper,gen-i,False,False,False,brown,wings,flying,rough-terrain,medium,90,70,Beak Pokémon,8,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
23,Ekans,Poison,,35,60,44,40,54,55,288,2.0,6.9,58,intimidate|shed-skin|unnerve,unnerve,gen-i,False,False,False,purple,squiggle,ground|dragon,grassland,medium,255,70,Snake Pokémon,9,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
24,Arbok,Poison,,60,95,69,65,79,80,448,3.5,65.0,157,intimidate|shed-skin|unnerve,unnerve,gen-i,False,False,False,purple,squiggle,ground|dragon,grassland,medium,90,70,Cobra Pokémon,9,It is rumored that the ferocious warning markings on its belly differ from area to area.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
25,Pikachu,Electric,,35,55,40,50,50,90,320,0.4,6.0,112,static|lightning-rod,lightning-rod,gen-i,False,False,False,yellow,quadruped,ground|fairy,forest,medium,190,70,Mouse Pokémon,10,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
26,Raichu,Electric,,60,90,55,90,80,110,485,0.8,30.0,218,static|lightning-rod,lightning-rod,gen-i,False,False,False,yellow,upright,ground|fairy,forest,medium,75,70,Mouse Pokémon,10,Its long tail serves as a ground to protect itself from its own high-voltage power.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
27,Sandshrew,Ground,,50,75,85,20,30,40,300,0.6,12.0,60,sand-veil|sand-rush,sand-rush,gen-i,False,False,False,yellow,upright,ground,rough-terrain,medium,255,70,Mouse Pokémon,11,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
28,Sandslash,Ground,,75,100,110,45,55,65,450,1.0,29.5,158,sand-veil|sand-rush,sand-rush,gen-i,False,False,False,yellow,upright,ground,rough-terrain,medium,90,70,Mouse Pokémon,11,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
29,Nidoran-F,Poison,,55,47,52,40,40,41,275,0.4,7.0,55,poison-point|rivalry|hustle,hustle,gen-i,False,False,False,blue,quadruped,monster|ground,grassland,medium-slow,235,70,Poison Pin Pokémon,12,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
30,Nidorina,Poison,,70,62,67,55,55,56,365,0.8,20.0,128,poison-point|rivalry|hustle,hustle,gen-i,False,False,False,blue,quadruped,no-eggs,grassland,medium-slow,120,70,Poison Pin Pokémon,12,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,505,1.3,60.0,227,poison-point|rivalry|sheer-force,sheer-force,gen-i,False,False,False,blue,upright,no-eggs,grassland,medium-slow,45,70,Drill Pokémon,12,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
32,Nidoran-M,Poison,,46,57,40,40,40,50,273,0.5,9.0,55,poison-point|rivalry|hustle,hustle,gen-i,False,False,False,purple,quadruped,monster|ground,grassland,medium-slow,235,70,Poison Pin Pokémon,13,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
33,Nidorino,Poison,,61,72,57,55,55,65,365,0.9,19.5,128,poison-point|rivalry|hustle,hustle,gen-i,False,False,False,purple,quadruped,monster|ground,grassland,medium-slow,120,70,Poison Pin Pokémon,13,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
34,Nidoking,Poison,Ground,81,102,77,85,75,85,505,1.4,62.0,227,poison-point|rivalry|sheer-force,sheer-force,gen-i,False,False,False,purple,upright,monster|ground,grassland,medium-slow,45,70,Drill Pokémon,13,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
35,Clefairy,Fairy,,70,45,48,60,65,35,323,0.6,7.5,113,cute-charm|magic-guard|friend-guard,friend-guard,gen-i,False,False,False,pink,upright,fairy,mountain,fast,150,140,Fairy Pokémon,14,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
36,Clefable,Fairy,,95,70,73,95,90,60,483,1.3,40.0,217,cute-charm|magic-guard|unaware,unaware,gen-i,False,False,False,pink,upright,fairy,mountain,fast,25,140,Fairy Pokémon,14,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
37,Vulpix,Fire,,38,41,40,50,65,65,299,0.6,9.9,60,flash-fire|drought,drought,gen-i,False,False,False,brown,quadruped,ground,grassland,medium,190,70,Fox Pokémon,15,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
38,Ninetales,Fire,,73,76,75,81,100,100,505,1.1,19.9,177,flash-fire|drought,drought,gen-i,False,False,False,yellow,quadruped,ground,grassland,medium,75,70,Fox Pokémon,15,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270,0.5,5.5,95,cute-charm|competitive|friend-guard,friend-guard,gen-i,False,False,False,pink,humanoid,fairy,grassland,fast,170,70,Balloon Pokémon,16,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435,1.0,12.0,196,cute-charm|competitive|frisk,frisk,gen-i,False,False,False,pink,humanoid,fairy,grassland,fast,50,70,Balloon Pokémon,16,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
41,Zubat,Poison,Flying,40,45,35,30,40,55,245,0.8,7.5,49,inner-focus|infiltrator,infiltrator,gen-i,False,False,False,purple,wings,flying,cave,medium,255,70,Bat Pokémon,17,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
42,Golbat,Poison,Flying,75,80,70,65,75,90,455,1.6,55.0,159,inner-focus|infiltrator,infiltrator,gen-i,False,False,False,purple,wings,flying,cave,medium,90,70,Bat Pokémon,17,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
43,Oddish,Grass,Poison,45,50,55,75,65,30,320,0.5,5.4,64,chlorophyll|run-away,run-away,gen-i,False,False,False,blue,legs,plant,grassland,medium-slow,255,70,Weed Pokémon,18,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
44,Gloom,Grass,Poison,60,65,70,85,75,40,395,0.8,8.6,138,chlorophyll|stench,stench,gen-i,False,False,False,blue,humanoid,plant,grassland,medium-slow,120,70,Weed Pokémon,18,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
45,Vileplume,Grass,Poison,75,80,85,110,90,50,490,1.2,18.6,221,chlorophyll|effect-spore,effect-spore,gen-i,False,False,False,red,humanoid,plant,grassland,medium-slow,45,70,Flower Pokémon,18,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
46,Paras,Bug,Grass,35,70,55,45,55,25,285,0.3,5.4,57,effect-spore|dry-skin|damp,damp,gen-i,False,False,False,red,armor,bug|plant,forest,medium,190,70,Mushroom Pokémon,19,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
47,Parasect,Bug,Grass,60,95,80,60,80,30,405,1.0,29.5,142,effect-spore|dry-skin|damp,damp,gen-i,False,False,False,red,armor,bug|plant,forest,medium,75,70,Mushroom Pokémon,19,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
48,Venonat,Bug,Poison,60,55,50,40,55,45,305,1.0,30.0,61,compound-eyes|tinted-lens|run-away,run-away,gen-i,False,False,False,purple,humanoid,bug,forest,medium,190,70,Insect Pokémon,20,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
49,Venomoth,Bug,Poison,70,65,60,90,75,90,450,1.5,12.5,158,shield-dust|tinted-lens|wonder-skin,wonder-skin,gen-i,False,False,False,purple,bug-wings,bug,forest,medium,75,70,Poison Moth Pokémon,20,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
50,Diglett,Ground,,10,55,25,35,45,95,265,0.2,0.8,53,sand-veil|arena-trap|sand-force,sand-force,gen-i,False,False,False,brown,blob,ground,cave,medium,255,70,Mole Pokémon,21,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
51,Dugtrio,Ground,,35,100,50,50,70,120,425,0.7,33.3,149,sand-veil|arena-trap|sand-force,sand-force,gen-i,False,False,False,brown,heads,ground,cave,medium,50,70,Mole Pokémon,21,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
52,Meowth,Normal,,40,45,35,40,40,90,290,0.4,4.2,58,pickup|technician|unnerve,unnerve,gen-i,False,False,False,yellow,quadruped,ground,urban,medium,255,70,Scratch Cat Pokémon,22,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
53,Persian,Normal,,65,70,60,65,65,115,440,1.0,32.0,154,limber|technician|unnerve,unnerve,gen-i,False,False,False,yellow,quadruped,ground,urban,medium,90,70,Classy Cat Pokémon,22,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
54,Psyduck,Water,,50,52,48,65,50,55,320,0.8,19.6,64,damp|cloud-nine|swift-swim,swift-swim,gen-i,False,False,False,yellow,upright,water1|ground,waters-edge,medium,190,70,Duck Pokémon,23,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
55,Golduck,Water,,80,82,78,95,80,85,500,1.7,76.6,175,damp|cloud-nine|swift-swim,swift-swim,gen-i,False,False,False,blue,upright,water1|ground,waters-edge,medium,75,70,Duck Pokémon,23,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
56,Mankey,Fighting,,40,80,35,35,45,70,305,0.5,28.0,61,vital-spirit|anger-point|defiant,defiant,gen-i,False,False,False,brown,upright,ground,mountain,medium,190,70,Pig Monkey Pokémon,24,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
57,Primeape,Fighting,,65,105,60,60,70,95,455,1.0,32.0,159,vital-spirit|anger-point|defiant,defiant,gen-i,False,False,False,brown,upright,ground,mountain,medium,75,70,Pig Monkey Pokémon,24,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
58,Growlithe,Fire,,55,70,45,70,50,60,350,0.7,19.0,70,intimidate|flash-fire|justified,justified,gen-i,False,False,False,brown,quadruped,ground,grassland,slow,190,70,Puppy Pokémon,25,Very protective of its territory. It will bark and bite to repel intruders from its space.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
59,Arcanine,Fire,,90,110,80,100,80,95,555,1.9,155.0,194,intimidate|flash-fire|justified,justified,gen-i,False,False,False,brown,quadruped,ground,grassland,slow,75,70,Legendary Pokémon,25,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
60,Poliwag,Water,,40,50,40,40,40,90,300,0.6,12.4,60,water-absorb|damp|swift-swim,swift-swim,gen-i,False,False,False,blue,legs,water1,waters-edge,medium-slow,255,70,Tadpole Pokémon,26,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
61,Poliwhirl,Water,,65,65,65,50,50,90,385,1.0,20.0,135,water-absorb|damp|swift-swim,swift-swim,gen-i,False,False,False,blue,humanoid,water1,waters-edge,medium-slow,120,70,Tadpole Pokémon,26,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,510,1.3,54.0,230,water-absorb|damp|swift-swim,swift-swim,gen-i,False,False,False,blue,humanoid,water1,waters-edge,medium-slow,45,70,Tadpole Pokémon,26,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
63,Abra,Psychic,,25,20,15,105,55,90,310,0.9,19.5,62,synchronize|inner-focus|magic-guard,magic-guard,gen-i,False,False,False,brown,upright,humanshape,urban,medium-slow,200,70,Psi Pokémon,27,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
64,Kadabra,Psychic,,40,35,30,120,70,105,400,1.3,56.5,140,synchronize|inner-focus|magic-guard,magic-guard,gen-i,False,False,False,brown,upright,humanshape,urban,medium-slow,100,70,Psi Pokémon,27,It emits special alpha waves from its body that induce headaches just by being close by.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
65,Alakazam,Psychic,,55,50,45,135,95,120,500,1.5,48.0,225,synchronize|inner-focus|magic-guard,magic-guard,gen-i,False,False,False,brown,humanoid,humanshape,urban,medium-slow,50,70,Psi Pokémon,27,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
66,Machop,Fighting,,70,80,50,35,35,35,305,0.8,19.5,61,guts|no-guard|steadfast,steadfast,gen-i,False,False,False,gray,upright,humanshape,mountain,medium-slow,180,70,Superpower Pokémon,28,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
67,Machoke,Fighting,,80,100,70,50,60,45,405,1.5,70.5,142,guts|no-guard|steadfast,steadfast,gen-i,False,False,False,gray,humanoid,humanshape,mountain,medium-slow,90,70,Superpower Pokémon,28,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
68,Machamp,Fighting,,90,130,80,65,85,55,505,1.6,130.0,227,guts|no-guard|steadfast,steadfast,gen-i,False,False,False,gray,humanoid,humanshape,mountain,medium-slow,45,70,Superpower Pokémon,28,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,300,0.7,4.0,60,chlorophyll|gluttony,gluttony,gen-i,False,False,False,green,humanoid,plant,forest,medium-slow,255,70,Flower Pokémon,29,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,390,1.0,6.4,137,chlorophyll|gluttony,gluttony,gen-i,False,False,False,green,blob,plant,forest,medium-slow,120,70,Flycatcher Pokémon,29,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
71,Victreebel,Grass,Poison,80,105,65,100,70,70,490,1.7,15.5,221,chlorophyll|gluttony,gluttony,gen-i,False,False,False,green,blob,plant,forest,medium-slow,45,70,Flycatcher Pokémon,29,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
72,Tentacool,Water,Poison,40,40,35,50,100,70,335,0.9,45.5,67,clear-body|liquid-ooze|rain-dish,rain-dish,gen-i,False,False,False,blue,tentacles,water3,sea,slow,190,70,Jellyfish Pokémon,30,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
73,Tentacruel,Water,Poison,80,70,65,80,120,100,515,1.6,55.0,180,clear-body|liquid-ooze|rain-dish,rain-dish,gen-i,False,False,False,blue,tentacles,water3,sea,slow,60,70,Jellyfish Pokémon,30,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
74,Geodude,Rock,Ground,40,80,100,30,30,20,300,0.4,20.0,60,rock-head|sturdy|sand-veil,sand-veil,gen-i,False,False,False,brown,arms,mineral,mountain,medium-slow,255,70,Rock Pokémon,31,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
75,Graveler,Rock,Ground,55,95,115,45,45,35,390,1.0,105.0,137,rock-head|sturdy|sand-veil,sand-veil,gen-i,False,False,False,brown,humanoid,mineral,mountain,medium-slow,120,70,Rock Pokémon,31,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
76,Golem,Rock,Ground,80,120,130,55,65,45,495,1.4,300.0,223,rock-head|sturdy|sand-veil,sand-veil,gen-i,False,False,False,brown,humanoid,mineral,mountain,medium-slow,45,70,Megaton Pokémon,31,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
77,Ponyta,Fire,,50,85,55,65,65,90,410,1.0,30.0,82,run-away|flash-fire|flame-body,flame-body,gen-i,False,False,False,yellow,quadruped,ground,grassland,medium,190,70,Fire Horse Pokémon,32,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
